Metric,Value,Unit,Notes
Sanctioned_Strength_Baseline,1700000,cadets,Prior sanctioned strength cited in announcement
Sanctioned_Strength_Target,2000000,cadets,Target sanctioned strength under expansion plan
Additional_Cadets_Planned,300000,cadets,Separate expansion announced on top of sanctioned-strength target
New_NCC_Units_Raised_JK_Ladakh,4,units,Raised in Jammu & Kashmir and Ladakh over the last 5 years
