Metric,Value,Unit,As_Of_Year
Institutions_Covered,23000,institutions,2025
Institutions_In_Pipeline,12000,institutions,2025
Annual_Training_Camps,1162,camps,2025
Special_Integration_Camps,6,camps,2025
Ek_Bharat_Shreshtha_Bharat_Camps,33,camps,2025
